 Dates,Types,Andhra Pradesh,Andaman and Nicobar Islands,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telengana,Tripura,Uttarakhand,Uttar Pradesh,West Bengal,Totals
10-Mar,TCIN,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,9,2,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,9,0,31
10-Mar,TCFN,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16
10-Mar,Cured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Mar,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Mar,TCIN,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,4,17,2,0,2,0,0,0,0,0,0,1,1,0,1,1,0,0,9,0,44
11-Mar,TCFN,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16
11-Mar,Cured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Mar,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Mar,TCIN,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,4,17,3,0,11,0,0,0,0,0,0,1,1,0,1,1,0,0,10,0,57
12-Mar,TCFN,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,17
12-Mar,Cured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
12-Mar,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Mar,TCIN,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,6,19,3,0,14,0,0,0,0,0,0,1,1,0,1,1,0,0,10,0,64
13-Mar,TCFN,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,17
13-Mar,Cured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
13-Mar,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14-Mar,TCIN,1,0,0,0,0,0,0,0,7,0,0,0,0,2,0,6,19,3,0,14,0,0,0,0,0,0,1,1,0,1,1,0,0,11,0,67
14-Mar,TCFN,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,17
14-Mar,Cured,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,10
14-Mar,Death,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15-Mar,TCIN,1,0,0,0,0,0,0,0,7,0,0,0,0,2,0,6,22,3,0,32,0,0,0,0,0,0,1,2,0,1,3,0,1,12,0,93
15-Mar,TCFN,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,17
15-Mar,Cured,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,4,0,13
15-Mar,Death,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
16-Mar,TCIN,1,0,0,0,0,0,0,0,7,0,0,0,0,3,0,6,23,4,0,32,0,0,0,0,1,0,1,2,0,1,3,0,1,12,0,97
16-Mar,TCFN,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,17
16-Mar,Cured,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,4,0,13
16-Mar,Death,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17-Mar,TCIN,1,0,0,0,0,0,0,0,8,0,0,1,0,3,0,11,24,6,0,36,0,0,0,0,1,0,1,2,0,1,3,0,1,14,0,113
17-Mar,TCFN,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,24
17-Mar,Cured,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,5,0,14
17-Mar,Death,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
18-Mar,TCIN,1,0,0,0,0,0,0,0,9,0,0,3,0,3,0,11,25,8,0,39,0,0,0,0,1,1,1,2,0,1,4,0,1,15,1,126
18-Mar,TCFN,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,25
18-Mar,Cured,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,5,0,14
18-Mar,Death,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
19-Mar,TCIN,2,0,0,0,0,1,1,0,11,0,0,3,0,4,0,14,25,8,0,44,0,0,0,0,1,1,2,5,0,2,4,0,1,18,1,148
19-Mar,TCFN,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,25
19-Mar,Cured,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,9,0,20
19-Mar,Death,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
20-Mar,TCIN,3,0,0,0,0,1,1,0,16,0,5,3,0,4,0,15,26,10,0,49,0,0,0,0,2,1,2,15,0,3,8,0,3,22,2,191
20-Mar,TCFN,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,9,0,0,1,0,32
20-Mar,Cured,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,9,0,23
20-Mar,Death,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
21-Mar,TCIN,3,0,0,0,0,1,1,0,25,0,7,3,2,4,0,15,33,13,4,60,0,0,0,0,2,1,13,15,0,3,10,0,3,23,3,244
21-Mar,TCFN,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,2,0,0,11,0,0,1,0,39
21-Mar,Cured,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,9,0,23
21-Mar,Death,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
22-Mar,TCIN,5,0,0,0,2,5,1,0,28,0,18,7,2,4,0,26,45,13,4,64,0,0,0,0,2,1,21,22,0,5,11,0,3,26,4,319
22-Mar,TCFN,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,2,0,2,11,0,0,1,0,41
22-Mar,Cured,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,9,0,24
22-Mar,Death,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7
23-Mar,TCIN,7,0,0,0,2,6,1,0,28,0,29,12,2,4,0,33,60,13,6,71,0,0,0,0,2,1,21,26,0,7,22,0,3,30,7,393
23-Mar,TCFN,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,2,0,2,10,0,0,1,0,40
23-Mar,Cured,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,9,0,35
23-Mar,Death,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8
24-Mar,TCIN,8,0,0,0,3,7,1,0,29,0,32,14,3,4,0,37,87,13,7,86,1,0,0,0,2,1,29,30,0,13,25,0,3,32,9,476
24-Mar,TCFN,0,0,0,0,0,0,0,0,1,0,1,14,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,2,0,2,10,0,1,1,0,43
24-Mar,Cured,0,0,0,0,0,0,0,0,6,0,0,11,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,11,0,40
24-Mar,Death,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9
25-Mar,TCIN,9,0,0,0,4,7,1,0,30,0,37,14,3,7,0,41,101,13,14,125,1,0,1,0,2,1,29,34,0,16,25,0,3,36,9,563
25-Mar,TCFN,0,0,0,0,0,0,0,0,1,0,1,14,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,2,0,2,10,0,1,1,0,43
25-Mar,Cured/Discharged/Migrated,1,0,0,0,0,0,0,0,6,0,0,11,0,1,0,3,4,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,11,0,43
25-Mar,Death,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10
26-Mar,TCIN,11,1,0,0,6,7,6,0,35,3,42,16,3,13,0,55,110,13,20,121,1,0,1,0,2,1,33,39,0,20,34,0,4,40,10,647
26-Mar,TCFN,0,0,0,0,0,0,0,0,1,0,1,14,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,2,0,6,10,0,1,1,0,47
26-Mar,Cured,1,0,0,0,0,0,0,0,6,0,0,11,0,1,0,3,6,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,11,0,45
26-Mar,Death,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,2,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,15
27-Mar,TCIN,14,2,0,0,9,7,6,0,38,3,44,19,3,18,0,55,165,13,30,177,1,0,1,0,3,1,38,46,0,32,38,0,4,44,15,826
27-Mar,TCFN,0,0,0,0,0,0,0,0,1,0,1,14,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,2,0,6,10,0,1,1,0,47
27-Mar,Cured,1,0,0,0,0,0,0,0,6,0,0,11,0,1,0,3,11,3,0,25,0,0,0,0,0,0,1,3,0,2,1,0,0,11,0,79
27-Mar,Death,0,0,0,0,1,0,0,0,1,0,3,0,1,1,0,2,0,0,2,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,19
28-Mar,TCIN,14,6,0,0,9,8,6,0,38,3,44,19,3,20,0,55,168,13,30,177,1,0,1,0,3,1,38,52,0,34,46,0,4,54,15,862
28-Mar,TCFN,0,0,0,0,0,0,0,0,1,0,1,14,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,2,0,6,10,0,1,1,0,47
28-Mar,Cured,1,0,0,0,0,0,0,0,6,0,0,12,0,1,0,3,11,3,0,25,0,0,0,0,0,0,1,3,0,2,1,0,0,11,0,80
28-Mar,Death,0,0,0,0,1,0,0,0,1,0,3,0,1,1,0,2,0,0,2,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,19
29-Mar,TCIN,19,9,0,0,11,8,7,0,49,5,58,33,3,31,0,76,182,13,30,186,1,0,1,0,3,1,38,55,0,49,66,0,7,65,18,1024
29-Mar,TCFN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Mar,Cured,1,0,0,0,0,0,0,0,6,0,1,17,0,1,0,5,15,3,0,25,0,0,0,0,0,0,1,3,0,4,1,0,2,11,0,96
29-Mar,Death,0,0,0,0,1,0,0,0,2,0,5,0,1,2,0,3,1,0,2,6,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,27
30-Mar,TCIN,23,9,0,0,15,8,7,0,87,5,69,36,3,48,0,83,202,13,47,198,1,0,1,0,3,1,38,59,0,67,71,0,7,82,22,1205
30-Mar,TCFN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Mar,Cured,1,0,0,0,0,0,0,0,6,0,1,18,0,2,0,5,19,3,0,25,0,0,0,0,0,0,1,3,0,4,1,0,2,11,0,102
30-Mar,Death,0,0,0,0,1,0,0,0,2,0,6,0,1,2,0,3,1,0,3,8,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,32
31-Mar,TCIN,40,10,0,0,15,13,8,0,97,5,73,40,3,54,0,83,234,13,47,216,1,0,1,0,3,1,41,74,0,74,79,0,7,101,26,1359
31-Mar,TCFN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Mar,Cured,1,0,0,0,0,0,0,0,6,0,3,21,0,2,0,5,19,3,0,39,0,0,0,0,0,0,1,3,0,4,1,0,2,14,0,124
31-Mar,Death,0,0,0,0,1,0,0,0,2,0,6,0,1,2,0,3,1,0,3,9,0,0,0,0,0,0,3,0,0,1,1,0,0,0,2,35
1-Apr,TCIN,83,10,0,1,23,16,9,0,152,5,82,43,3,62,1,101,241,13,66,302,1,0,1,0,4,3,42,93,0,234,96,0,7,103,37,1834
1-Apr,TCFN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Apr,Cured,0,1,0,0,0,0,2,0,6,0,5,21,0,2,0,8,23,3,0,39,0,0,0,0,0,1,1,3,0,6,1,0,2,14,6,144
1-Apr,Death,0,0,0,0,1,0,0,0,2,0,6,0,1,2,0,3,2,0,3,9,0,0,0,0,0,0,3,0,0,1,3,0,0,2,3,41
2-Apr,TCIN,86,10,0,5,24,16,9,0,219,5,87,43,3,62,1,110,265,13,99,335,1,0,1,0,4,3,46,108,0,234,107,0,7,113,53,2069
2-Apr,TCFN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Apr,Cured,1,0,0,0,0,0,2,0,8,0,8,21,1,2,0,9,25,3,0,42,0,0,0,0,0,1,1,3,0,6,1,0,2,14,6,156
2-Apr,Death,1,0,0,0,1,0,0,0,4,0,7,0,1,2,0,3,2,0,6,13,0,0,0,0,0,0,4,0,0,1,3,0,0,2,3,53
3-Apr,TCIN,132,10,1,16,29,18,9,0,219,6,95,49,6,75,2,124,286,14,104,335,2,0,1,0,5,5,48,167,0,309,158,0,10,172,63,2470
3-Apr,TCFN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Apr,Cured,1,0,0,0,0,0,3,0,8,0,10,24,1,3,0,10,27,3,0,42,0,0,0,0,0,1,1,3,0,6,1,0,2,14,3,163
3-Apr,Death,1,0,0,0,1,0,0,0,4,0,8,0,1,2,0,3,2,0,6,16,0,0,0,0,0,0,5,0,0,1,7,0,0,2,3,62
4-Apr,TCIN,161,10,1,24,30,18,9,0,445,7,105,49,6,75,2,128,295,14,104,490,2,0,1,0,5,5,57,200,0,411,159,0,16,174,69,3072
4-Apr,TCFN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Apr,Cured,1,0,0,0,0,0,3,0,15,0,14,24,1,3,0,12,41,3,0,42,0,0,0,0,0,1,1,21,0,6,1,0,2,19,3,213
4-Apr,Death,1,0,0,0,1,0,0,0,6,0,10,0,1,2,0,3,2,0,6,24,0,0,0,0,0,0,5,0,0,2,7,0,0,2,3,75
5-Apr,TCIN,190,10,1,26,30,18,9,0,503,7,122,59,6,106,3,144,306,14,165,490,2,0,1,0,20,5,57,200,0,485,269,0,22,227,80,3577
5-Apr,TCFN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-Apr,Cured,1,0,0,0,0,0,3,0,18,0,18,25,1,4,0,12,49,10,0,42,0,0,0,0,0,1,1,21,0,6,32,0,2,19,10,275
5-Apr,Death,1,0,0,0,1,0,0,0,7,0,11,1,1,2,0,4,2,0,9,24,0,0,0,0,0,0,5,0,0,3,7,0,0,2,3,83
6-Apr,TCIN,226,10,1,26,32,18,10,0,523,7,144,84,13,109,4,151,314,14,165,748,2,0,1,0,21,5,76,274,0,571,321,0,26,305,80,4281
6-Apr,TCFN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-Apr,Cured,1,0,0,0,0,0,8,0,19,0,22,25,2,4,0,12,55,10,0,56,0,0,0,0,2,1,4,21,0,8,34,0,4,21,10,319
6-Apr,Death,3,0,0,0,1,0,0,0,7,0,12,1,1,2,0,4,2,0,9,45,0,0,0,0,0,0,6,0,0,5,7,0,0,3,3,111
7-Apr,TCIN,266,10,1,26,32,18,10,0,576,7,165,90,13,116,4,175,327,14,229,868,2,0,1,0,42,5,91,288,0,621,364,1,31,305,91,4789
7-Apr,TCFN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Apr,Cured,1,0,0,0,0,7,9,0,21,0,25,25,2,4,0,25,58,10,0,56,0,0,0,0,2,1,4,21,0,8,35,0,5,21,13,353
7-Apr,Death,3,0,0,0,1,0,0,0,7,0,13,1,1,2,0,4,2,0,13,48,0,0,0,0,1,0,7,3,0,5,7,0,0,3,3,124
8-Apr,TCIN,305,10,1,27,38,18,10,0,576,7,165,147,18,116,4,175,336,14,229,1018,2,0,1,0,42,5,91,328,0,690,427,1,31,343,99,5274
8-Apr,TCFN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Apr,Cured,5,0,0,0,0,7,9,0,21,0,25,28,2,4,0,25,70,10,0,79,0,0,0,0,2,1,4,21,0,19,35,0,5,26,13,411
8-Apr,Death,4,0,0,0,1,0,0,0,9,0,13,3,1,2,0,4,2,0,13,64,0,0,0,0,1,0,7,3,0,7,7,0,0,3,5,149
9-Apr,TCIN,348,11,1,28,39,18,10,0,669,7,179,169,18,158,13,181,345,14,259,1135,2,0,1,0,42,5,101,383,0,738,442,1,35,410,103,5865
9-Apr,TCFN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9-Apr,Cured,6,0,0,0,0,7,9,0,21,0,25,29,2,4,0,28,83,10,0,117,1,0,0,0,2,1,4,21,0,21,35,0,5,31,16,478
9-Apr,Death,4,0,0,0,1,0,0,0,9,0,16,3,1,4,0,5,2,0,16,72,0,0,0,0,1,0,8,3,0,8,7,0,0,4,5,169
10-Apr,TCIN,363,11,1,29,60,18,10,0,898,7,241,169,28,184,13,197,357,15,259,1364,2,0,1,0,44,5,132,463,0,834,473,1,35,431,116,6761
10-Apr,TCFN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Apr,Cured,7,0,0,0,0,7,9,0,25,1,26,29,6,6,0,30,96,10,0,125,1,0,0,0,2,1,5,21,0,21,35,0,5,32,16,516
10-Apr,Death,6,0,0,0,1,0,0,0,13,0,17,3,1,4,1,6,2,0,16,97,0,0,0,0,1,0,11,3,0,8,7,0,0,4,5,206
11-Apr,TCIN,381,11,1,29,60,18,18,0,903,7,308,177,28,207,17,214,364,15,443,1574,2,0,1,0,48,7,132,553,0,911,504,2,35,433,126,7529
11-Apr,TCFN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Apr,Cured,11,0,0,0,0,7,9,0,25,1,31,29,6,6,0,37,123,10,0,188,1,0,0,0,2,1,5,21,0,44,43,0,5,32,16,653
11-Apr,Death,6,0,0,1,1,0,0,0,14,0,19,3,1,4,1,6,2,0,33,110,0,0,0,0,1,0,11,3,0,8,9,0,0,4,5,242
12-Apr,TCIN,381,11,1,29,64,19,25,0,1069,7,432,185,32,224,17,226,374,15,564,1761,2,0,1,0,54,7,151,700,0,969,504,2,35,452,134,8447
12-Apr,TCFN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Apr,Cured,11,10,0,0,19,7,10,0,25,5,44,29,6,6,0,37,142,10,0,208,1,0,0,0,12,1,5,21,0,44,43,0,5,45,19,765
12-Apr,Death,6,0,0,1,1,0,0,0,19,0,22,3,1,4,1,6,2,0,36,127,0,0,0,0,1,0,11,3,0,10,9,0,0,5,5,273
13-Apr,TCIN,432,11,1,31,64,21,31,0,1154,7,539,185,32,245,19,247,376,15,604,1985,2,0,1,1,54,7,167,812,0,1075,562,2,35,483,152,9352
13-Apr,TCFN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Apr,Cured,11,10,0,0,26,7,10,0,27,5,47,29,13,6,0,59,179,10,44,217,1,0,0,0,12,1,14,21,0,50,100,0,5,47,29,980
13-Apr,Death,7,0,0,1,1,0,0,0,24,0,26,3,1,4,2,6,3,0,43,149,0,0,0,0,1,0,11,3,0,11,16,0,0,5,7,324
14-Apr,TCIN,473,11,1,31,66,21,31,0,1510,7,617,199,32,270,24,258,379,15,730,2337,2,1,1,1,55,7,176,879,0,1173,624,2,35,657,190,10815
14-Apr,TCFN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Apr,Cured,14,10,0,0,26,7,10,0,30,5,55,34,13,16,0,65,198,10,51,229,1,0,0,0,18,1,14,133,0,58,100,0,7,49,36,1190
14-Apr,Death,9,0,0,1,1,0,0,0,28,0,26,3,1,4,2,9,3,0,50,160,0,0,0,0,1,0,12,3,0,11,17,0,0,5,7,353
